State,District,Caste_Category,Religion,Literacy_Rate,Avg_Income_INR,Gender_Ratio,Occupation,Population
Tamil Nadu,Madurai,General,Hindu,69.81,29962,0.95,Business,11081
Rajasthan,Udaipur,OBC,Hindu,67.11,39840,0.87,Agriculture,14339
Uttar Pradesh,Varanasi,SC,Hindu,65.19,57991,0.94,Business,12697
Rajasthan,Udaipur,General,Hindu,74.02,55352,0.91,Daily Wage,3796
Rajasthan,Jaipur,OBC,Hindu,72.24,35188,0.96,Unemployed,1392
Rajasthan,Jaipur,OBC,Hindu,62.27,35367,1.0,Service,14513
Uttar Pradesh,Varanasi,ST,Muslim,74.51,49389,1.17,Agriculture,4658
Rajasthan,Ajmer,OBC,Muslim,62.33,48084,0.97,Business,6198
Rajasthan,Jaipur,General,Muslim,91.9,32875,0.87,Service,9431
Maharashtra,Nagpur,General,Hindu,64.01,13141,0.9,Unemployed,13796
Rajasthan,Udaipur,OBC,Hindu,62.41,37255,0.98,Daily Wage,629
Bihar,Bhagalpur,OBC,Sikh,88.76,49256,0.89,Daily Wage,926
Tamil Nadu,Coimbatore,ST,Hindu,51.02,42378,0.82,Unemployed,10091
Rajasthan,Udaipur,SC,Hindu,78.31,52691,0.9,Unemployed,7088
Rajasthan,Jaipur,OBC,Muslim,52.87,55308,0.94,Service,1902
Rajasthan,Ajmer,SC,Hindu,72.38,11083,0.89,Business,9619
Bihar,Bhagalpur,OBC,Muslim,70.05,35704,0.9,Agriculture,3125
Uttar Pradesh,Lucknow,General,Christian,76.23,28985,0.94,Unemployed,6588
Rajasthan,Udaipur,General,Muslim,71.2,52716,1.02,Agriculture,8637
Maharashtra,Pune,SC,Hindu,48.75,11988,1.08,Service,1622
Uttar Pradesh,Varanasi,OBC,Muslim,73.32,23772,1.11,Agriculture,9288
Maharashtra,Mumbai,SC,Hindu,61.16,52689,0.96,Unemployed,11318
Uttar Pradesh,Varanasi,General,Hindu,90.61,71330,0.93,Agriculture,4761
Maharashtra,Pune,General,Hindu,79.72,54680,1.09,Service,7794
Uttar Pradesh,Kanpur,SC,Hindu,50.35,45290,1.06,Unemployed,6884
Rajasthan,Ajmer,ST,Sikh,42.41,17251,0.75,Service,3936
Tamil Nadu,Chennai,General,Muslim,67.31,55763,1.1,Service,3203
Bihar,Gaya,General,Muslim,70.74,69429,0.81,Agriculture,10205
Bihar,Bhagalpur,OBC,Christian,52.97,34166,0.99,Daily Wage,569
Maharashtra,Mumbai,ST,Hindu,59.67,10000,0.94,Daily Wage,4415
Bihar,Bhagalpur,OBC,Muslim,56.96,45045,0.99,Daily Wage,12824
Maharashtra,Pune,OBC,Hindu,60.6,27291,0.84,Daily Wage,4132
Uttar Pradesh,Kanpur,SC,Hindu,59.37,49327,0.85,Daily Wage,10633
Rajasthan,Jaipur,SC,Muslim,65.04,27046,0.87,Daily Wage,4319
Uttar Pradesh,Varanasi,General,Muslim,68.93,29471,0.89,Agriculture,5576
Uttar Pradesh,Varanasi,OBC,Hindu,58.02,64470,0.95,Business,10650
Tamil Nadu,Coimbatore,SC,Hindu,53.0,38209,0.94,Service,12411
Uttar Pradesh,Kanpur,OBC,Muslim,67.79,44212,1.03,Service,3578
Uttar Pradesh,Varanasi,General,Hindu,64.69,36362,0.92,Unemployed,7256
Tamil Nadu,Coimbatore,SC,Sikh,36.98,12272,1.09,Business,1941
Maharashtra,Mumbai,General,Hindu,86.45,41264,1.01,Business,11672
Uttar Pradesh,Lucknow,General,Hindu,73.11,91183,1.06,Unemployed,4307
Rajasthan,Udaipur,ST,Muslim,58.72,20666,0.79,Unemployed,6918
Tamil Nadu,Coimbatore,OBC,Sikh,72.03,23654,0.81,Unemployed,5860
Uttar Pradesh,Varanasi,General,Christian,63.53,28776,1.12,Daily Wage,10611
Uttar Pradesh,Kanpur,OBC,Muslim,78.82,34880,1.1,Business,6986
Maharashtra,Nagpur,OBC,Hindu,70.77,22080,1.1,Business,13345
Tamil Nadu,Madurai,OBC,Hindu,75.39,19441,0.93,Agriculture,3141
Rajasthan,Jaipur,General,Hindu,61.24,24258,1.04,Business,12199
Bihar,Gaya,OBC,Hindu,89.09,14021,1.01,Service,3033
Uttar Pradesh,Kanpur,OBC,Christian,63.49,27693,0.89,Agriculture,728
Uttar Pradesh,Kanpur,SC,Hindu,51.36,35727,0.87,Unemployed,9987
Tamil Nadu,Chennai,OBC,Christian,72.7,34246,0.93,Unemployed,13278
Uttar Pradesh,Kanpur,SC,Hindu,50.92,26348,1.03,Daily Wage,4819
Uttar Pradesh,Lucknow,General,Hindu,75.01,30336,0.96,Business,11095
Maharashtra,Mumbai,General,Hindu,77.51,19958,1.0,Unemployed,3865
Rajasthan,Ajmer,OBC,Hindu,63.37,43558,0.87,Agriculture,10543
Tamil Nadu,Coimbatore,General,Hindu,51.95,20586,0.95,Unemployed,1328
Uttar Pradesh,Kanpur,OBC,Hindu,72.6,21435,1.01,Unemployed,13673
Maharashtra,Nagpur,OBC,Hindu,53.38,34008,0.83,Service,2129
Rajasthan,Udaipur,General,Hindu,63.48,45710,0.86,Daily Wage,13352
Bihar,Patna,General,Sikh,66.15,60094,0.89,Agriculture,2616
Maharashtra,Pune,General,Hindu,78.36,28054,1.0,Service,6873
Bihar,Bhagalpur,General,Hindu,84.42,10000,0.87,Service,7619
Rajasthan,Ajmer,OBC,Hindu,75.77,31954,0.99,Agriculture,9991
Rajasthan,Udaipur,OBC,Hindu,63.96,36298,0.93,Service,12454
Uttar Pradesh,Varanasi,SC,Muslim,71.68,38816,0.98,Service,12308
Bihar,Bhagalpur,General,Hindu,65.88,37685,0.91,Unemployed,7915
Maharashtra,Mumbai,OBC,Hindu,73.94,28685,0.98,Business,1611
Rajasthan,Ajmer,OBC,Muslim,90.75,48066,0.92,Service,5325
Rajasthan,Jaipur,SC,Hindu,72.01,28878,0.75,Unemployed,8858
Uttar Pradesh,Lucknow,SC,Muslim,49.92,10000,0.91,Daily Wage,9693
Tamil Nadu,Madurai,General,Hindu,70.18,70146,0.98,Agriculture,6707
Uttar Pradesh,Varanasi,SC,Christian,57.81,47441,0.73,Unemployed,8316
Bihar,Patna,ST,Muslim,62.36,46562,0.8,Business,11484
Rajasthan,Jaipur,SC,Hindu,71.44,40077,0.91,Agriculture,502
Uttar Pradesh,Kanpur,General,Hindu,76.33,79060,0.97,Daily Wage,8681
Maharashtra,Mumbai,General,Muslim,72.48,38109,0.87,Service,1399
Bihar,Patna,SC,Hindu,68.3,22158,0.96,Unemployed,4999
Uttar Pradesh,Varanasi,General,Muslim,65.22,52184,0.98,Business,6865
Rajasthan,Ajmer,SC,Sikh,70.38,27349,0.92,Agriculture,14061
Tamil Nadu,Chennai,SC,Christian,50.21,28335,0.99,Daily Wage,1845
Rajasthan,Jaipur,General,Hindu,77.57,31167,1.04,Daily Wage,4304
Uttar Pradesh,Lucknow,ST,Muslim,73.56,41201,1.14,Agriculture,6934
Uttar Pradesh,Kanpur,SC,Hindu,52.26,16330,0.77,Unemployed,6151
Bihar,Gaya,General,Hindu,84.96,54815,0.94,Unemployed,14726
Tamil Nadu,Coimbatore,OBC,Hindu,72.8,18117,1.19,Service,12993
Uttar Pradesh,Lucknow,OBC,Hindu,71.29,36640,1.02,Business,7427
Rajasthan,Udaipur,General,Hindu,74.81,48358,0.87,Service,13229
Rajasthan,Udaipur,ST,Sikh,64.71,63230,1.08,Daily Wage,12980
Uttar Pradesh,Lucknow,OBC,Hindu,85.93,27331,0.85,Business,6448
Uttar Pradesh,Kanpur,OBC,Hindu,68.74,35835,1.06,Business,3999
Uttar Pradesh,Varanasi,OBC,Hindu,53.08,57943,0.93,Service,716
Uttar Pradesh,Lucknow,OBC,Hindu,65.73,19818,0.78,Business,3091
Bihar,Patna,OBC,Muslim,78.23,36099,0.82,Business,6757
Bihar,Gaya,General,Hindu,57.05,39963,1.12,Agriculture,4319
Maharashtra,Mumbai,ST,Hindu,57.4,12452,0.93,Daily Wage,8311
Uttar Pradesh,Lucknow,General,Christian,67.27,10000,0.94,Agriculture,4514
Tamil Nadu,Chennai,OBC,Christian,67.69,45443,1.13,Agriculture,13504
Bihar,Patna,OBC,Hindu,81.27,30966,0.84,Agriculture,4889
Tamil Nadu,Madurai,SC,Hindu,85.73,35888,0.95,Service,2067
Bihar,Patna,General,Hindu,69.76,47971,0.94,Business,3871
Rajasthan,Udaipur,SC,Muslim,54.26,26797,0.95,Unemployed,13079
Maharashtra,Mumbai,SC,Christian,54.57,24307,0.96,Unemployed,7588
Maharashtra,Mumbai,SC,Christian,57.45,57559,0.7,Business,7489
Uttar Pradesh,Varanasi,General,Hindu,80.92,63691,0.74,Daily Wage,11812
Uttar Pradesh,Kanpur,General,Muslim,66.57,39428,0.81,Daily Wage,13663
Maharashtra,Nagpur,OBC,Muslim,62.22,18341,1.13,Daily Wage,8826
Tamil Nadu,Chennai,OBC,Muslim,79.36,54073,1.02,Service,14795
Uttar Pradesh,Kanpur,SC,Hindu,48.71,27132,1.0,Service,7122
Tamil Nadu,Coimbatore,SC,Sikh,47.78,45694,0.93,Business,9712
Uttar Pradesh,Kanpur,ST,Muslim,56.25,45664,0.99,Service,10244
Maharashtra,Nagpur,SC,Muslim,56.39,52389,0.84,Business,1871
Rajasthan,Jaipur,SC,Hindu,66.16,43896,0.92,Business,9880
Maharashtra,Nagpur,General,Muslim,73.26,26233,1.04,Agriculture,12654
Uttar Pradesh,Kanpur,General,Hindu,68.15,37159,1.05,Daily Wage,1367
Tamil Nadu,Chennai,General,Muslim,62.96,23873,0.79,Service,11728
Bihar,Patna,ST,Hindu,66.06,15793,1.13,Service,14517
Tamil Nadu,Madurai,OBC,Hindu,49.18,60446,0.97,Agriculture,11799
Rajasthan,Jaipur,General,Muslim,69.03,36826,0.99,Daily Wage,10726
Maharashtra,Pune,OBC,Hindu,69.62,51549,0.96,Business,5526
Bihar,Bhagalpur,General,Christian,71.5,39545,0.94,Service,1314
Bihar,Bhagalpur,General,Hindu,73.08,19347,0.82,Daily Wage,12446
Rajasthan,Jaipur,General,Hindu,77.43,47562,0.93,Service,1112
Uttar Pradesh,Varanasi,General,Muslim,70.18,50213,0.9,Daily Wage,1191
Tamil Nadu,Madurai,SC,Muslim,52.22,37937,0.85,Daily Wage,5469
Bihar,Patna,OBC,Hindu,74.08,10000,1.05,Agriculture,13495
Uttar Pradesh,Varanasi,OBC,Hindu,74.73,38840,1.05,Unemployed,13136
Bihar,Patna,OBC,Muslim,86.65,50215,0.77,Business,13373
Uttar Pradesh,Kanpur,OBC,Hindu,57.2,25627,0.95,Service,10721
Maharashtra,Nagpur,General,Muslim,75.18,34113,0.97,Agriculture,2522
Maharashtra,Nagpur,SC,Hindu,52.45,25827,0.81,Business,4317
Uttar Pradesh,Lucknow,General,Muslim,60.77,24724,0.85,Daily Wage,6805
Maharashtra,Nagpur,OBC,Hindu,80.54,20759,1.2,Unemployed,950
Rajasthan,Ajmer,SC,Hindu,64.93,37772,0.86,Service,13668
Rajasthan,Udaipur,General,Hindu,77.0,36365,0.96,Unemployed,7404
Maharashtra,Mumbai,OBC,Hindu,95.6,33559,1.06,Unemployed,8786
Maharashtra,Mumbai,ST,Christian,52.97,34475,1.13,Agriculture,14799
Tamil Nadu,Chennai,OBC,Hindu,63.73,62186,1.02,Agriculture,3847
Bihar,Gaya,OBC,Hindu,64.38,44486,1.05,Unemployed,1178
Maharashtra,Pune,SC,Muslim,66.22,11446,0.88,Agriculture,3211
Uttar Pradesh,Kanpur,OBC,Hindu,67.52,33883,1.01,Business,8410
Maharashtra,Pune,OBC,Hindu,71.78,14969,0.99,Agriculture,5916
Maharashtra,Nagpur,SC,Hindu,66.11,43396,1.06,Service,10722
Bihar,Bhagalpur,OBC,Hindu,78.34,41887,0.94,Agriculture,1027
Rajasthan,Jaipur,OBC,Hindu,53.39,41444,0.97,Service,1906
Maharashtra,Pune,OBC,Hindu,72.72,15848,0.84,Agriculture,1577
Tamil Nadu,Coimbatore,General,Hindu,80.53,44406,1.02,Agriculture,13929
Uttar Pradesh,Varanasi,General,Hindu,70.28,45446,1.04,Unemployed,7456
Maharashtra,Nagpur,OBC,Hindu,64.84,36441,0.9,Unemployed,5453
Maharashtra,Mumbai,SC,Hindu,55.66,30362,0.97,Agriculture,8133
Uttar Pradesh,Kanpur,SC,Hindu,55.21,53836,0.86,Business,6388
Uttar Pradesh,Lucknow,ST,Hindu,58.13,28404,1.09,Daily Wage,6430
Rajasthan,Ajmer,ST,Hindu,61.97,50477,0.8,Business,7735
Tamil Nadu,Chennai,ST,Muslim,62.67,48344,0.96,Unemployed,4379
Uttar Pradesh,Lucknow,OBC,Hindu,80.65,27240,1.09,Daily Wage,10075
Maharashtra,Nagpur,OBC,Hindu,92.99,29557,0.91,Unemployed,6133
Tamil Nadu,Madurai,OBC,Hindu,84.53,58693,0.9,Service,10305
Tamil Nadu,Madurai,ST,Hindu,55.8,30773,0.82,Agriculture,10674
Uttar Pradesh,Lucknow,ST,Hindu,50.81,19937,0.87,Business,11300
Uttar Pradesh,Kanpur,ST,Muslim,59.65,38513,1.11,Unemployed,14156
Maharashtra,Mumbai,ST,Hindu,50.02,49764,0.93,Unemployed,7469
Bihar,Bhagalpur,General,Hindu,69.51,55122,0.84,Service,2827
Uttar Pradesh,Varanasi,General,Muslim,73.82,47496,1.0,Service,2726
Maharashtra,Nagpur,General,Hindu,72.89,81829,0.89,Business,6752
Uttar Pradesh,Kanpur,OBC,Hindu,64.69,25652,0.89,Service,13806
Maharashtra,Pune,General,Hindu,63.63,62835,1.09,Service,9997
Maharashtra,Nagpur,SC,Muslim,54.29,22514,1.0,Service,12717
Rajasthan,Ajmer,SC,Sikh,54.48,44493,0.97,Unemployed,1449
Rajasthan,Ajmer,General,Hindu,54.84,68212,1.13,Service,3790
Rajasthan,Jaipur,OBC,Hindu,63.87,29184,0.98,Unemployed,1941
Tamil Nadu,Chennai,SC,Hindu,63.34,44878,1.15,Unemployed,6767
Bihar,Patna,SC,Christian,58.23,23025,0.81,Agriculture,3512
Tamil Nadu,Coimbatore,OBC,Hindu,62.69,34503,1.13,Unemployed,12388
Maharashtra,Nagpur,General,Hindu,64.82,48356,0.95,Agriculture,4183
Bihar,Patna,SC,Hindu,71.88,72903,0.9,Agriculture,3959
Uttar Pradesh,Lucknow,ST,Christian,55.11,50662,1.02,Service,12291
Uttar Pradesh,Varanasi,SC,Hindu,78.47,43758,0.91,Daily Wage,13069
Tamil Nadu,Chennai,ST,Muslim,65.91,51630,1.03,Service,9535
Rajasthan,Jaipur,OBC,Hindu,75.07,51000,1.07,Agriculture,6728
Uttar Pradesh,Kanpur,OBC,Hindu,83.82,44730,0.93,Daily Wage,6744
Rajasthan,Udaipur,General,Muslim,71.47,63097,0.87,Daily Wage,11444
Maharashtra,Pune,OBC,Hindu,73.69,29099,0.95,Business,7151
Uttar Pradesh,Varanasi,General,Hindu,82.78,47866,0.95,Unemployed,4598
Rajasthan,Ajmer,General,Hindu,56.4,56193,1.01,Service,4370
Rajasthan,Udaipur,SC,Hindu,81.63,30383,0.97,Service,5915
Uttar Pradesh,Varanasi,General,Hindu,72.49,68661,0.94,Agriculture,10782
Uttar Pradesh,Varanasi,OBC,Hindu,72.79,44118,0.97,Business,890
Uttar Pradesh,Kanpur,General,Muslim,65.54,47911,1.06,Daily Wage,3260
Tamil Nadu,Chennai,OBC,Muslim,59.73,36994,0.88,Unemployed,1169
Rajasthan,Ajmer,General,Muslim,81.95,22152,0.89,Business,882
Tamil Nadu,Coimbatore,OBC,Hindu,73.77,58482,0.94,Business,9365
Uttar Pradesh,Lucknow,OBC,Hindu,64.45,63217,0.81,Service,8209
Rajasthan,Jaipur,SC,Hindu,38.01,41600,0.9,Unemployed,5475
Rajasthan,Ajmer,General,Hindu,59.79,55625,0.97,Daily Wage,10045
Maharashtra,Mumbai,ST,Christian,54.36,15795,1.04,Agriculture,13758
Tamil Nadu,Chennai,SC,Muslim,66.5,33512,1.13,Agriculture,1869
Maharashtra,Mumbai,OBC,Hindu,59.3,12117,0.88,Unemployed,5528
Rajasthan,Jaipur,OBC,Hindu,69.54,38650,0.93,Business,10911
Rajasthan,Ajmer,OBC,Hindu,73.52,16226,1.09,Business,5613
Uttar Pradesh,Lucknow,OBC,Hindu,69.18,51759,0.98,Service,6755
Bihar,Patna,OBC,Muslim,74.57,43546,0.99,Agriculture,7972
Bihar,Bhagalpur,General,Hindu,76.43,64937,0.97,Agriculture,10802
Bihar,Gaya,OBC,Hindu,77.09,33653,1.09,Agriculture,12397
Bihar,Gaya,OBC,Hindu,63.24,62014,0.95,Unemployed,9800
Maharashtra,Mumbai,SC,Hindu,45.69,36921,0.88,Business,3078
Tamil Nadu,Chennai,ST,Hindu,68.41,25210,0.91,Daily Wage,6018
Maharashtra,Nagpur,SC,Hindu,41.1,28215,0.71,Service,7514
Rajasthan,Ajmer,OBC,Hindu,54.16,46406,1.03,Service,7071
Maharashtra,Nagpur,General,Hindu,74.25,30495,0.95,Agriculture,13245
Rajasthan,Jaipur,ST,Hindu,59.96,17624,1.1,Business,10575
Tamil Nadu,Coimbatore,General,Hindu,78.77,41685,0.95,Service,11470
Uttar Pradesh,Kanpur,General,Hindu,72.08,14373,0.93,Daily Wage,12994
Tamil Nadu,Madurai,SC,Hindu,53.18,19975,0.92,Daily Wage,13603
Rajasthan,Jaipur,OBC,Sikh,87.98,44612,0.89,Service,2578
Maharashtra,Pune,OBC,Hindu,75.73,55990,1.04,Daily Wage,12310
Rajasthan,Jaipur,OBC,Hindu,70.6,25295,1.02,Unemployed,12582
Rajasthan,Ajmer,SC,Hindu,63.93,48427,1.01,Business,6441
Rajasthan,Jaipur,General,Hindu,80.5,36971,1.08,Agriculture,14943
Bihar,Patna,SC,Hindu,61.98,66128,0.88,Unemployed,7288
Uttar Pradesh,Varanasi,OBC,Muslim,87.36,37968,0.88,Unemployed,6239
Bihar,Gaya,ST,Hindu,55.16,30194,0.99,Business,5996
Rajasthan,Ajmer,OBC,Muslim,75.23,26394,0.95,Unemployed,12822
Maharashtra,Mumbai,OBC,Hindu,91.42,60913,0.99,Service,12216
Uttar Pradesh,Kanpur,General,Hindu,70.38,46800,1.01,Agriculture,6287
